,提现,代扣交易退回积分,售后维权(-) AS售后维权：天猫佣金,淘宝客佣金代扣款
230829457136042,2719,-13.59,0,-135.95
230929260421163,0.1,0,0,0
231044906399404,0.1,0,0,0
231462294916969,365.08,-1.84,0,-18.4
231731466178876,3190,-3.09,0,-61.8
231893695675553,180,-0.9,0,-9
231995943714807,1698,-1.69,0,-33.96
232085811516410,434,-2.17,0,-21.7
232151895394883,398,-1.99,0,-19.9
232226945863303,110.11,-0.51,-8,-4.75
232526380460951,627,-0.59,0,-11.98
232554015678707,365.07,-1.84,0,-18.4
232560941761936,113,-0.51,0,-5.15
232618537718898,348,-1.74,0,-17.4
232720492393123,79,-0.39,0,-3.95
232725292340548,99.25,-0.45,0,-4.5
232783133539454,268,-1.34,0,-13.4
232902587552058,441.44,-2.15,0,-22.27
232956707545121,133,-0.66,0,-6.65
232995731080419,179,-0.89,0,-8.95
233035734273382,143.84,-0.72,0,-7.25
233113063735447,295.62,-1.49,0,-14.9
233125614276171,665.63,-3.35,0,-33.55
233133175427200,212.29,-0.98,0,-9.9
233143428237015,317.61,-1.59,0,-15.95
233161184326089,198,-0.99,0,-9.9
233240738159294,119.04,-0.6,0,-6
233246977453161,24,-0.12,0,-1.2
233261410749434,9,-0.04,0,-0.45
233314865176601,348,-1.74,0,-17.4
233317216444380,29,-0.14,0,-1.45
233327187285854,248,-1.24,0,-12.4
233348027354331,188,-0.94,0,-9.4
233356612612059,3210,-3.09,0,-61.8
233383093394284,193,-0.96,0,-9.65
233401464463223,151.78,-0.76,0,-7.65
233406828147278,84,-0.42,0,-4.2
233407019216708,125,-0.62,0,-6.25
233423459014449,112.1,-0.56,0,-5.65
233425582219294,268,-1.34,0,-13.4
233456459752884,184,-0.72,0,-7.51
233460543099049,110,-0.5,0,-5
233474547062970,100,-0.5,0,-5
233510133363763,10.1,0,0,0
233715302805338,381,-1.9,0,-19.05
233733866488703,147,-0.73,0,-7.35
233745294968786,1596.17,-8.02,0,-80.45
233795220975739,1378.88,-6.95,0,-69.5
233836021618051,237.09,-1.19,0,-11.95
233859709978845,1104,-5.52,0,-55.2
233883663129162,587,-2.93,0,-29.35
234047413452435,130.97,-0.6,0,-6
234080491481559,8,0,0,0
234160544681724,3184.32,-3.09,0,-61.8
234181774024631,328.37,-1.59,0,-15.95
234188988628467,66.46,-0.28,0,-2.9
234339980945504,2598,-2.59,0,-51.96
234370576801890,109,-0.49,0,-4.95
234487930165634,1090,-5.45,0,-54.5
234522143665171,0.1,0,-0.1,0
234577457219512,128,-0.6,0,-6
234609456891552,69.44,-0.35,0,-3.5
234700055689500,328,-1.64,0,-16.4
234716533528227,34.72,-0.17,0,-1.75
234732373240477,388,-1.94,0,-19.4
234759578225447,1184,-5.92,0,-59.2
234853984429176,142,-0.64,0,-6.4
234931066244661,864,-4.32,0,-43.2
234971826547681,328,-1.64,0,-16.4
235016252845065,150,-0.68,0,-6.8
235113901865004,367,-1.79,0,-17.95
235236532484735,495.1,-2.47,0,-24.75
235337222290994,138.9,-0.66,0,-6.6
235338941453583,410.69,-2.07,0,-20.7
235501771093042,326.53,-1.64,0,-16.4
235565583405704,408,-2.04,0,-20.4
235591384998118,336,-1.68,0,-16.8
235609061285285,324,-1.57,0,-15.7
235653771657998,325.38,-1.64,0,-16.4
235804145191875,93.25,-0.08,0,-1.68
235817220900780,857.09,-4.32,0,-43.2
236057985698942,165.1,-0.82,0,-8.25
236085014942041,882,-4.32,0,-43.2
236119695285998,389,-1.94,0,-19.45
236196611092485,130,-0.6,0,-6
236211494567560,133.1,-0.57,0,-5.75
